CellID,CD3,Vimentin,aSMA,Ecad,Ki67,CD45,CK14,CK19,CK17,PCNA,PanCK,CD31,cross_cluster,x,y,cell_type_tumor
7754,0.8945750901232608,0.5107170860961239,0.3449881527135409,0.6439569633236407,0.2735912773803093,0.421551466203944,0.4638571336130753,0.8840895163472116,0.7027863377319961,0.6673865766100238,0.8523773453825769,0.143862630176772,Basal Epithelial,1477.3862433862437,1111.6825396825398,Basal Epithelial
7755,0.6095788172625092,0.4581000694557623,0.3057683124632945,0.6832588135030254,0.2598381958190837,0.4432073944737984,0.4290336475122151,0.8908722941725503,0.4896947680631763,0.5517647169738443,0.8694888127865832,0.1337030182356807,Proliferative Epithelial,1475.9333333333334,1169.6,Proliferative Basal Epithelial
7763,0.4756839275753073,0.4492796490507023,0.3555621834508331,0.730699298788517,0.6571816142443386,0.4379958389320957,0.5235251491448866,0.8754571190395947,0.6321274570114785,0.7407435249760017,0.8986018724004887,0.1297938016508011,Proliferative Basal Epithelial,1491.2123287671234,1791.1917808219175,Proliferative Epithelial
7764,0.6727696235293322,0.663642708131028,0.342246380660724,0.5747464792141812,0.2569130804233839,0.4909709223097399,0.4480007444020702,0.8534994182487494,0.5713171334892928,0.4203099389272452,0.91947489183954,0.2812036390722697,Epithelial,1491.368932038835,1998.9320388349515,Epithelial
7766,0.6852051290249965,0.6868178605511931,0.5960315208726275,0.4006829751357404,0.5561710505637775,0.5708768862912977,0.4635371170913001,0.5069547261046464,0.4809616519422277,0.6677423379626197,0.423765437932692,0.45153712692021,Stroma,1465.6413793103447,556.8275862068965,Proliferative Epithelial
7768,0.4778178097008548,0.6955726519947275,0.5869759121701013,0.5076753662749666,0.2794345801562669,0.4610623725618962,0.4290641719025999,0.5295079357121434,0.4691207409901788,0.4598360339226643,0.4290022775076421,0.7715642657899412,Endothelial,1475.0,1082.3809523809523,Endothelial
7770,0.5152709737537086,0.5803385662748155,0.373547675978039,0.4979626262396039,0.2632974914127332,0.7778171116692528,0.4656688880954622,0.5031022871604417,0.524209241887609,0.4290485935370457,0.3766111081467433,0.5320687138234265,B-cells,1486.2317073170732,1644.6707317073171,Endothelial
7773,0.4551439296183214,0.6467156116411739,0.4374180776777766,0.4403201279217988,0.2277167133587207,0.6060881001891516,0.3983684215803161,0.4925306473447561,0.5107461375179303,0.4749403755644766,0.3564281110486844,0.5664633544670311,CD163+ Macrophages,1497.2680412371135,2197.7938144329896,Endothelial
7775,0.6561921323138358,0.4648642237065449,0.3099917727778903,0.7658353523172491,0.428017693044554,0.4436882717252708,0.4444566760996694,0.9409171746536537,0.5714991731037941,0.5422453077858862,0.9169685409138704,0.1395522244789032,Proliferative Basal Epithelial,1476.747663551402,1199.1869158878503,Proliferative Epithelial
7778,0.7658161945018116,0.529552399581596,0.27101565682147,0.5933003278788419,0.1635384796630394,0.3569080614522801,0.3727923363015104,0.8708262682785285,0.5638924839274121,0.4750249621984268,0.8551678968492846,0.1534657379951663,Epithelial,1462.8022813688212,268.50950570342206,Basal Epithelial
7779,0.6844219615024509,0.4485100811165254,0.3004445392562897,0.7139245506718517,0.2440155289289179,0.4380949501834752,0.4544349293312709,0.8850344824521916,0.5363604244439585,0.5510888624605428,0.8873245602086962,0.1478469195912761,Epithelial,1469.7796610169491,663.9661016949152,Proliferative Basal Epithelial
